school_id,district,school,approaches_self_regulation,approaches_interpersonal_skills,approaches_total,approaches_n,math_number,math_n,literacy_uppercase_letters,literacy_uppercase_letters_n,literacy_lowercase_letters,literacy_lowercase_letters_n,literacy_letter_sound,literacy_letter_sound_n,frl_pct,x2017_18_total_enrollment,x2017_18_american_indian_alaska_native,x2017_18_percent_american_indian_alaska_native,x2017_18_asian,x2017_18_percent_asian,x2017_18_native_hawaiian_pacific_islander,x2017_18_percent_native_hawaiian_pacific_islander,x2017_18_black_african_american,x2017_18_percent_black_african_american,x2017_18_hispanic_latino,x2017_18_percent_hispanic_latino,x2017_18_white,x2017_18_percent_white,x2017_18_multiracial,x2017_18_percent_multiracial,location,lon,lat
840,Portland SD 1J,Chief Joseph Elementary School,3.8,4.1,3.9,60,11.6,60,19.5,60,16,60,11.4,60,33.33,363,2,0.00550964187,16,0.04407713498,8,0.02203856749,37,0.10192837465,37,0.10192837465,209,0.57575757575,54,0.14876033057,"Chief Joseph Elementary School, Multnomah County, Oregon",-122.6914664,45.5729486
841,Portland SD 1J,Cesar Chavez K-8 School,4.1,4.5,4.2,59,12.2,57,13.8,53,11.3,53,9.8,52,87.41,540,4,0.0074074074,9,0.01666666666,28,0.05185185185,85,0.1574074074,284,0.52592592592,89,0.16481481481,41,0.07592592592,"Cesar Chavez K-8 School, Multnomah County, Oregon",-122.7193542,45.5843617
842,Portland SD 1J,Harrison Park School,3.3,3.8,3.5,60,11.8,54,14.4,54,12.5,54,4.9,54,84.17,638,6,0.00940438871,172,0.26959247648,13,0.02037617554,137,0.21473354231,110,0.1724137931,150,0.23510971786,50,0.07836990595,"Harrison Park School, Multnomah County, Oregon",-122.5749992,45.5068113
843,Portland SD 1J,Creston Elementary School,3.7,4.2,3.9,54,11,41,15.6,41,13.2,41,8.5,40,44.35,372,0,0,34,0.09139784946,4,0.01075268817,17,0.04569892473,68,0.18279569892,225,0.60483870967,24,0.06451612903,"Creston Elementary School, Multnomah County, Oregon",-122.6137951,45.495449
844,Portland SD 1J,Duniway Elementary School,3.9,3.9,3.9,77,14.2,76,21.5,76,18.5,76,16.2,76,8.62,499,0,0,7,0.01402805611,0,0,4,0.00801603206,27,0.05410821643,424,0.84969939879,37,0.07414829659,"Duniway Elementary School, Multnomah County, Oregon",-122.6288567,45.4684342
847,Portland SD 1J,Faubion Elementary School,3.5,3.7,3.6,103,11.4,78,17.8,78,15.3,78,10.9,78,80.67,626,8,0.01277955271,15,0.02396166134,3,0.00479233226,185,0.29552715654,170,0.2715654952,162,0.25878594249,83,0.13258785942,"Faubion Elementary School, Multnomah County, Oregon",-122.6350465,45.5710821
850,Portland SD 1J,Glencoe Elementary School,4,4.2,4.1,73,12.4,73,20.6,73,16.7,73,10.6,73,16.56,489,0,0,20,0.0408997955,0,0,18,0.03680981595,50,0.10224948875,335,0.68507157464,66,0.13496932515,"Glencoe Elementary School, Multnomah County, Oregon",-122.6109564,45.5171579
854,Portland SD 1J,Grout Elementary School,3.5,3.8,3.6,62,12.8,58,16.7,55,13.7,55,8.8,53,53.2,391,3,0.00767263427,45,0.11508951406,4,0.01023017902,47,0.12020460358,39,0.09974424552,216,0.55242966751,37,0.09462915601,"Grout Elementary School, Multnomah County, Oregon",-122.6331103,45.49092220000001
855,Portland SD 1J,Hayhurst Elementary School,3.4,3.9,3.6,81,13.1,80,20.7,79,17.7,79,13.6,78,17.91,592,1,0.00168918918,17,0.02871621621,0,0,19,0.03209459459,51,0.08614864864,432,0.72972972972,72,0.12162162162,"Hayhurst Elementary School, Multnomah County, Oregon",-122.7293528,45.4803685
857,Portland SD 1J,Beverly Cleary School,4.1,4.2,4.1,77,12.6,78,21.3,78,17.6,78,12.5,78,9.81,897,6,0.00668896321,27,0.03010033444,1,0.0011148272,22,0.02452619843,70,0.07803790412,707,0.78818283166,64,0.07134894091,"Beverly Cleary School, Multnomah County, Oregon",-122.6314977,45.5369687
